appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
1025600,201984797,76561198144962585,for the wolf,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,201769337,76561198088094365,w,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,201732848,76561198122984034,for the serpent,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,201677141,76561198163499613,can you balance the bots  my ally bot  so slow and hard to make it respond to my command while using hard bots for allies they build very few buildings and armies meanwhile enemy bots are  fast reactive responds running towards their ally build so many buildings for stalling enemies,False,0,0,0.5,0,True,False,False,Battle Realms
1025600,201337078,76561199804368683,good,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,200953313,76561198282245692,fun challenging gameplay,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,200832672,76561199881606055,one of the best rts game ever made it brings back my happy teenage days thank you for bringing back my awesome memories 22 years ago,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,200736709,76561198213218719,good,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,200639414,76561198999926092,lotus journey when,True,0,1,0.5,0,True,False,False,Battle Realms
1025600,200290189,76561198993113757,a game full of memories you know this is my first game when i was 5 years old and my father taught me the strategy for this game,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,200074263,76561199041595215,why alwasy disconnected and crash,False,1,0,0.5204468369483947,0,True,False,False,Battle Realms
1025600,199909699,76561198894897710,classic rts,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,199889102,76561198162248636,i cant play on my rog ally it has a error could not initialize display mode please help me i use window 11,False,1,1,0.4969351589679718,0,True,False,False,Battle Realms
1025600,199821818,76561198796262577,fantastic game made even more awesome thanks to this version   i love that you can go down the path of evil or good and it really mean something   story is fun game play is great,True,1,0,0.5172414183616638,0,True,False,False,Battle Realms
1025600,199760602,76561199747768107,screen 2 small i cant find wway make it bigger other than that awesome,True,1,0,0.5238095521926879,0,True,False,False,Battle Realms
1025600,199394475,76561198851590330,absolute peak,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,199339538,76561199752766580,it is really a nice strategy and formation game which is really need time to be skillful for this game however usually player in this game crushed a newbie player,True,0,0,0.5,0,True,False,False,Battle Realms
1025600,199033654,76561198115305841,nostalgic,True,0,0,0.5,0,True,False,False,Battle Realms
