appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
412830,201800914,76561198799260854,a classic for a reason,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201738250,76561198355278539,everything that needs to be said about steinsgate already has been long before i ever played it read it now,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201735398,76561197985450786,excellent story and characters doesnt really get better than this,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201707351,76561199138948418,yes i sunk 60 hours into this game that i didnt need to surpassing my time in octopath traveler ii in like a week yes i dont regret it yes this game is good and if it isnt it will be in a few chapters yes this is the best visual novel ive played so far play this game you wont regret it,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201691220,76561199267505908,mad scientist gaslit me into believing im fake and that my world doesnt exist 1110 would stein my gate again,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201660709,76561199521699071,peak,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201629956,76561198433091724,i bought this for 2 you will buy this you will lose 60 h of your life this is the choice of steingate,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201629453,76561199862987548,dr peppr,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201622983,76561199059974359,just bought this game cause it was cheap but then found it the greatest visual novel have ever existed,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,201604489,76561199198282630,its peak,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,201588664,76561199493068262,masterpiece,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,201554980,76561199052289649,"i dont know how to write reviews but i loved this highly recommend",True,1,0,0.5,0,True,False,False,Steins;Gate
412830,201553039,76561199182325368,one of the best visual novels i have ever read this not only made my summer it defined it el psy kongroo 1110,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201505405,76561199244145180,  ttuturu,True,2,0,0.5,0,True,False,False,Steins;Gate
412830,201444484,76561198079001353,"linear and long but the writing is great so i loved it its not really a dating sim but the main focus of the multiple endings is which cute girl you end up with  i appreciate the extensive glossary that explains japanese cultural terms along with otaku  2chan memes",True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201424304,76561198819701184,i really enjoyed the story and the characters i cried like four times it can get emotional out of nowhere especially if youre willing to put yourself in their shoes highly recommend this masterpiece,True,2,0,0.5,1,True,False,False,Steins;Gate
412830,201421404,76561198796340879,i rarely play visual novels but this is absolute cinema deserves all the praise it gets,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,201412338,76561198372584462, 3   ,False,0,0,0.5,0,True,False,False,Steins;Gate
412830,201403605,76561198411414613,yes,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201402120,76561198040653599,one of the best to ever do it,True,0,0,0.5,2,True,False,False,Steins;Gate
412830,201386728,76561198416459255,1010,True,0,0,0.5,1,True,False,False,Steins;Gate
412830,201334459,76561198304316602,9510 would cry over and over again,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201312291,76561198043595385,masterpiece,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201291260,76561198042602614,getting to the true ending is a bit obtuse but worth every minute 1110,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201274992,76561198123935402,both the visual novel and anime are popular for a reason need i say more if you are considering buying this do not hesitate only reason id possibly wait is for the reboot this year but who knows when that will be translated second visual novel ive read after chaoshead noah i do not regret a thing the only thing i do is not reading it sooner el psy kongroo,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201271078,76561199143396631,peak,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201259100,76561197998407004,i hear the mcs voice lines in my head too often these days,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201252894,76561199073847757,great game has likable characters with strong writing i started with the elite version and i really dont think you can go wrong with either version,True,0,0,0.5,1,True,False,False,Steins;Gate
412830,201072227,76561198127324488,the best,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,201064065,76561198832503837,i liked that one part where he time travelled,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200941341,76561199081677355,nice game,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,200939148,76561199576675642,good shit,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,200938703,76561199203023893,1,True,1,0,0.5,0,False,False,False,Steins;Gate
412830,200934218,76561198893379380,,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200887691,76561198212719821,1010       ,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200885784,76561199080426828,oh my god i get it,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200849689,76561199123866018, ,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200845749,76561199012680784,fantastic vn 8510,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200776642,76561198919302330,christina,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200735798,76561198435597051,good game,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200714351,76561199559772505,one of my most favorite adv game,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200690841,76561198128203583,i heard about it quite a while ago i heard it was good so i finally bought it on summer sale and damn it exceeded my expectations at least a 100 times one of the greatest games ive ever played im in awe with how great the story is crafted and told it left me speechless i lack the words to describe what i felt if you are considering buying this game then stop and just go play it and recommend it to all your friends afterwards el psy kongroo 10010,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200640991,76561198992727750,lol,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200627765,76561199128094614,1110 one of the greatest pieces of fiction in history this game got me learning things that interested me more than school has ever done ,True,1,0,0.5,0,True,False,False,Steins;Gate
412830,200619772,76561197993597587,heed the tags this is a visual novel not a game but as such it has one of the most engaging stories i have ever read i think i went through every emotion known to mankind during the 50 hours it took me to get through the story,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200599863,76561198042027653,phenomenal vn that had me on the edge of my seat from start to finish would 100 recommend playing this over watching the anime as the game makes you feel much more engrossed in the mindbending story id definitely recommend going in blind initially and avoiding spoilers from any members of the organization at all costs   el psy kongroo,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200508613,76561198296890749,this was the choice of steinsgate,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200490492,76561199004496664,i sniffled pretty good,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200442511,76561199220212852,goated,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200438829,76561198324651710,i loved the story,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200424297,76561199003853725,reaching for steins gate is such a crazy and full of emotions journey not much to say other than el psy kongroo,True,0,0,0.5,1,True,False,False,Steins;Gate
412830,200421413,76561199118931115,but hes a guy,True,0,0,0.5,1,True,False,False,Steins;Gate
412830,200419264,76561198006305486,"watched the anime twice decided to give the game a try since it was on sale  lots more details about the story than the anime  it was incredibly fun for a visual novel  only downside is the true ending is a bit tough to get  spoiler free hint to get true ending be careful what you text to kurisu  if she doesnt text you for a long time you probably messed up",True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200386975,76561199038026401,if you are looking to try visual novels this is a great place to start make sure to install the committee of zero patch every for every game in the science adventure series,True,0,0,0.5,0,True,False,False,Steins;Gate
412830,200382757,76561199201871239,1010 plot and characters,True,0,0,0.5,0,True,False,False,Steins;Gate
